331919	ara	ويل للكافرين
332182	ara	متى أنشئت هذه الجامعة؟
332186	ara	أراها نادراً
332187	ara	يعزف على البيانو بشكل جيد جداً
332191	ara	مع كل احترامي.
332192	ara	نظف أسنانك
332222	ara	أتمنى لك نومًا هادئًا يا تِمِي.‏‏
332223	ara	ما اسمُك؟
332224	ara	لو سمحت، أضعت طريقي.‏‏
332226	ara	عفوًا.
332229	ara	عيد ميلاد سعيد!‏‏
332368	ara	ذهبت اليوم إلى الطبيب
336064	ara	يتكلم بسرعة.
336151	ara	إنه وسيم.
336152	ara	إنه وسيم و ذكي.
336153	ara	إنه وسيم جدا.
336154	ara	هذه القلعة جميلة.
336155	ara	إيطاليا بلد جميل جدا.
336156	ara	طقس اليوم جميل.
336157	ara	تعال إلى منزلي.
336158	ara	منزلي كبير.
336159	ara	أنظر إلى هذا المنزل.
336160	ara	منزلك رائع.
336161	ara	مرحباً بك في المنزل.
336162	ara	إني في المنزل.
336163	ara	لا أحب المدرسة.
336164	ara	أنا طالب في هذه المدرسة.
336165	ara	هذه مدرستنا.
337468	ara	تستطيع معالجة السرطان اذا أكتشف في المراحل الأولى.
337469	ara	مرض السرطان هو عدو البشريه الأكبر
340399	ara	هل تتكلم اللغة الإنجليزية؟
340400	ara	أنا لا أتكلم اللغة اليابانية.‏‏
340401	ara	لا تقلق.
340402	ara	لا أعرف‏.‏‏
341949	ara	الدوق يمتلك الكثير من الأراضي.
341950	ara	الشهر القمري أقصر من الشهر الشمسي.
341951	ara	اليوم أقمارنا الصناعية تدور حول الأرض.
341952	ara	فكرة جيدة أن نلعب الشوقي بعد الغداء.
341953	ara	استيقظت في السابعة هذا الصباح.
341965	ara	تركوا المشكلة بدون حل.
370530	ara	هل تريد أن تنصحني بشيء ما ؟
370531	ara	تعتمد اليابان على نفط البلدان العربية.
370532	ara	ما هذا؟
370533	ara	من رسم هذه اللوحة؟
370534	ara	هذا بيتي وهذه أرضي!
370535	ara	أحببت هذا الفيلم.
370536	ara	من كتب هذا الكتاب؟
370537	ara	من وضع هذه الخطة؟
370538	ara	هذا ليس عدلاً.
370539	ara	اشتريته بالأمس.
370540	ara	هذا لك.
370541	ara	هذا كتاب.
370542	ara	هذا كتابها.
370543	ara	قابلنا كاتباً.
